@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
debenedettimrco,299,2095,9965,0.009900990099009901,0.027227722772277228,4,0.02105,22,0,18,78,23,38,27,19,49,85,15,22,38,0.21999999999999992,0.12886666666666682,0.15500000000000014,0.13550000000000006,0.11392857142857138,3.634352909782366,0.63,0.01,0.06,0.08,0.23
ChiaraCampione,1922,2802,8926,0.07210300429184549,0.06952789699570816,12,0.15584,5485,11,23,31,25,51,50,10,66,39,12,59,41,0.23400000000000024,0.13870000000000005,0.1316666666666666,0.165,0.1221428571428573,3.1294533782301204,0.49,0.04,0.09,0.08,0.3
carlodaverona,820,376,9268,0.07356235997012696,0.08588498879761015,15,0.06276,32,1,12,28,22,53,49,9,78,36,11,14,40,0.23900000000000005,0.14175000000000007,0.15666666666666673,0.14649999999999996,0.12107142857142869,2.87200985133675,0.32,0.04,0.07,0.06,0.51
danosavi,207,198,2963,0.01675977653631285,0.12104283054003724,3,0.08333,162,0,11,37,22,46,94,9,82,37,8,100,40,0.21200000000000013,0.16499999999999945,0.14666666666666675,0.17499999999999996,0.14267857142857163,1.867132867132867,0.09,0.03,0.06,0.05,0.77
gpazzaglia71,253,300,6476,0.08598548297040759,0.04690117252931323,2,0.01538,125,4,18,45,20,39,48,19,71,33,17,21,43,0.235,0.11560000000000016,0.14916666666666661,0.13149999999999992,0.11428571428571427,2.03210530240883,0.65,0.11,0.03,0.07,0.14
AndCappe,25400,23500,92700,0.022944550669216062,0.019120458891013385,21,0.55263,184,0,15,36,22,47,34,8,72,1,10,17,38,0.23700000000000024,0.1566999999999999,0.16583333333333336,0.171,0.12392857142857182,3.234299609626566,0.68,0.05,0.06,0.05,0.16
FridaFerrari1,308,260,333,0.011286681715575621,0.030474040632054177,2,0.01099,8,?,13,64,16,45,29,13,55,66,10,18,40,0.24499999999999994,0.11210000000000023,0.1233333333333333,0.12450000000000003,0.11535714285714277,2.826388888888889,0.66,0,0.03,0.03,0.28
JattoniDallAsen,414,338,2060,0.01321767864518794,0.16026435357290375,16,0.10667,555,1,12,57,16,50,45,11,62,38,10,20,33,0.21800000000000014,0.11170000000000009,0.1291666666666666,0.12249999999999993,0.10446428571428565,3.2085306827056077,0.39,0.1,0.05,0.03,0.43
massimilianimrc,1040,851,11500,0.021618282890673256,0.1266213712168005,9,0.07438,3492,5,11,27,19,45,45,7,65,37,8,21,35,0.23100000000000012,0.13110000000000008,0.11916666666666663,0.11749999999999995,0.12035714285714282,2.1464595720994346,0.35,0.17,0.19,0.05,0.23
darioq,457,667,13800,0.05846774193548387,0.020161290322580645,20,0.58824,846,17,15,52,25,48,36,10,69,40,14,17,34,0.22500000000000012,0.1587000000000001,0.1766666666666667,0.177,0.12946428571428595,6.331025654579204,0.6,0.05,0.05,0.07,0.23
