@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
EGardini,423,6109,1911,0.05080066261733849,0.12755383765875208,2,0.01527,139,0,11,25,16,49,52,7,60,36,8,14,36,0.22599999999999995,0.13522499999999996,0.1408333333333333,0.15249999999999994,0.09928571428571438,7.387215494601692,0.86,0.03,0.04,0.03,0.06
PoliticaAdesso,1990,910,1641,3.4458993797381116E-4,3.4458993797381116E-4,240,0.98765,21,2,10,30,22,52,16,7,46,28,9,20,40,0.252,0.13459999999999991,0.1658333333333334,0.14300000000000002,0.10714285714285728,3.2516943814482113,0.47,0.05,0.07,0.1,0.31
MarcoFerrante,657,4861,6091,0.07496529384544193,0.023600185099490977,11,0.08527,14,0,12,30,19,51,49,8,74,31,8,11,36,0.24200000000000002,0.12140000000000022,0.14749999999999996,0.12699999999999997,0.1158928571428572,1.9410101010101009,0.29,0.03,0.23,0.12,0.33
giorgiobarbieri,159,277,772,0.042746113989637305,0.09067357512953368,11,0.09821,13,0,10,30,22,50,37,7,69,31,9,12,37,0.23799999999999993,0.14164999999999991,0.17750000000000002,0.14349999999999996,0.11589285714285723,1.9808033286769668,0.34,0.04,0.14,0.07,0.41
rbonanni1,1150,10100,398,0.009934909215484755,0.049674546077423776,11,0.05729,13,0,13,27,22,50,22,8,62,17,9,13,35,0.23399999999999999,0.13280000000000003,0.14500000000000005,0.106,0.07491071428571433,2.1250410836364315,0.47,0.05,0.07,0.1,0.32
PsicologiLazio,143,601,583,0.012272950417280314,0.13598429062346587,6,0.04478,1,0,13,75,18,47,55,16,57,28,10,12,37,0.22799999999999998,0.15864999999999976,0.17916666666666675,0.14950000000000008,0.10714285714285718,1.6358695652173914,0.8,0.02,0.04,0.03,0.1
popibonnici,283,6621,5867,0.01243640474844545,0.060486150367439234,7,0.04667,531,0,17,43,16,39,48,12,69,88,13,12,36,0.2340000000000001,0.12055000000000024,0.13416666666666663,0.16450000000000004,0.09178571428571437,2.9565525834973734,0.59,0.08,0.07,0.07,0.18
marcobattistini,147,87,552,0.02984165651644336,0.05176613885505481,48,0.33803,152,0,17,42,16,47,37,14,55,33,12,16,39,0.25499999999999995,0.13250000000000015,0.13333333333333322,0.1454999999999999,0.09089285714285716,2.1703867026492722,0.33,0.11,0.09,0.14,0.32
Dughiero64,369,240,1282,0.03231939163498099,0.043726235741444866,8,0.25806,77,0,13,24,23,44,33,7,69,33,9,19,35,0.2609999999999999,0.15933333333333327,0.1433333333333334,0.161,0.12321428571428591,2.5946027633851467,0.79,0.19,0.01,0,0.01
GirodB,958,790,1321,0.05104521147301896,0.07049100631988332,9,0.06429,88,3,14,25,29,46,52,9,73,36,10,12,39,0.21499999999999997,0.13469999999999993,0.1383333333333334,0.1275,0.10732142857142857,2.196078431372549,0.13,0,0.2,0,0.67
GloboOriginal,124,48,400,0.056074766355140186,0.08767245215843347,7,0.03415,1,0,10,29,16,51,56,5,67,15,8,34,31,0.256,0.13902499999999987,0.14833333333333326,0.1575,0.12553571428571422,2.291201521130985,0.37,0.02,0.1,0.08,0.43
alexfoti,2001,1498,10800,0.008207934336525308,0.03146374829001368,26,0.53061,8,0,13,36,33,45,49,13,63,29,16,36,32,0.26500000000000007,0.1692999999999998,0.15166666666666676,0.166,0.1312500000000001,2.739393499086625,0.4,0.07,0.09,0.09,0.34
milanoxrenzi,115,1547,4615,0.002244165170556553,0.012567324955116697,44,0.22222,43,0,12,21,16,47,13,5,42,47,7,12,38,0.254,0.12959999999999988,0.13499999999999998,0.136,0.10482142857142855,2.4595598075436853,0.4,0.05,0.06,0.08,0.41
valijolie,1409,5647,19200,0.02302025782688766,0.01289134438305709,14,0.08092,5614,24,17,47,20,50,39,13,57,51,9,16,41,0.21600000000000008,0.12384999999999999,0.1275,0.12349999999999996,0.08928571428571423,1.8,0,0.2,0.4,0.2,0.2
GiacomoCanesin,489,238,943,0.030897207367795602,0.17528223410576352,21,0.14789,130,?,24,42,28,35,62,15,71,33,21,68,34,0.2400000000000001,0.19086666666666643,0.1608333333333334,0.15216666666666676,0.16178571428571448,1.9885561377047445,0.06,0.04,0.11,0.16,0.63
madeddoni,195,1183,4863,0.003858875413450937,0.04299889746416759,3,0.02419,5174,1,13,28,28,55,37,8,51,33,11,37,38,0.21300000000000016,0.10073333333333351,0.12333333333333336,0.10749999999999992,0.09999999999999994,2.90721085197525,0.42,0.08,0.08,0.04,0.4
angeloturcomi,793,498,451,0.0,0.015609756097560976,6,0.02913,60,0,10,19,20,49,15,6,45,54,8,15,39,0.2480000000000003,0.12753333333333342,0.16333333333333322,0.13399999999999995,0.08714285714285722,2.973193473193473,0.07,0.08,0.11,0.23,0.52
vivalaradiontw,491,4425,65100,0.0,0.06624770882429956,54,0.21012,14,?,13,19,19,50,26,6,57,37,8,18,40,0.22899999999999998,0.1775999999999998,0.1833333333333334,0.15,0.1067857142857143,3.2928938188745676,0.49,0.09,0.04,0.09,0.29
CLAUDIOCINQUEST,10,41,2351,0.035761154855643046,0.08136482939632546,28,0.14,3,0,12,21,18,43,44,6,53,33,8,15,39,0.23900000000000016,0.11320000000000005,0.1541666666666667,0.1375000000000001,0.09124999999999997,2.706870310860042,0.32,0.07,0.14,0.12,0.35
simodelbianco,1066,1006,1806,0.04142011834319527,0.1059171597633136,3,0.02419,550,2,11,32,24,46,53,10,65,44,11,28,45,0.23599999999999988,0.1564999999999996,0.15666666666666668,0.14699999999999996,0.10035714285714298,2.9520777118186725,0.74,0.1,0.06,0.07,0.04
antoniobarreca7,618,931,1253,0.09153122326775022,0.04362703165098375,7,0.0875,390,1,13,32,16,43,58,9,72,35,10,14,38,0.24400000000000016,0.1515499999999999,0.16083333333333333,0.12650000000000003,0.11392857142857153,2.109585240671383,0.16,0.1,0.04,0.52,0.19
flaviosoriga,853,9978,7865,0.13315754779169414,0.01977587343441002,5,0.03067,960,1,13,27,19,41,54,7,71,34,11,10,35,0.23399999999999999,0.12705000000000014,0.14166666666666677,0.1295,0.10767857142857146,2.066666666666667,0.2,0.4,0.2,0.2,0
ilcruccu,311,2592,4232,0.009788566953797965,0.05990602975724354,86,0.4456,22,0,17,44,22,46,26,10,52,35,8,14,38,0.23900000000000002,0.12075000000000036,0.16666666666666655,0.12699999999999986,0.10803571428571426,1.61781284870638,0.23,0.16,0.11,0.12,0.39
clagher,342,350,7283,0.005733944954128441,0.06613149847094801,21,0.11053,152,0,15,50,21,48,32,14,37,47,8,24,37,0.2230000000000002,0.16983333333333314,0.18333333333333332,0.147,0.10410714285714287,2.958984915171883,0.36,0.09,0.07,0.08,0.39
CacaceStefano,854,507,1106,0.013377926421404682,3.716090672612412E-4,49,0.24378,19,0,9,19,19,53,14,5,42,22,9,16,39,0.24500000000000008,0.14877499999999988,0.13083333333333333,0.1655000000000001,0.09857142857142867,2.0997517152888547,0.29,0.11,0.05,0.08,0.47
PakistanRetweet,?,727,118000,0.0,0.10845506861443116,2,0.00866,164,1,9,33,34,55,29,8,39,17,13,23,41,0.25600000000000006,0.1808066666666661,0.18916666666666673,0.14400000000000004,0.15178571428571455,4.014900662251655,0.75,0.19,0.02,0,0.04
UgoliniLorenzo,1642,274,3476,0.015771812080536914,0.03825503355704698,11,0.06962,384,?,15,38,18,45,30,10,57,43,13,21,37,0.1910000000000001,0.09445000000000017,0.13249999999999998,0.12899999999999992,0.0621428571428571,2.2764697544903023,0.19,0.06,0.12,0.17,0.47
anfesibena,333,301,7507,0.007492641156007493,0.08161626973508161,39,0.1789,2315,0,14,57,16,52,41,12,70,36,9,15,40,0.244,0.09880000000000008,0.12999999999999992,0.1259999999999999,0.08678571428571424,2.5294731174794585,0.52,0.09,0.06,0.18,0.14
GiuliaDiVita,852,27000,45700,0.02847955902618282,0.04501607717041801,21,0.15789,11700,3,12,37,16,55,47,10,47,36,8,20,45,0.24700000000000016,0.11790000000000007,0.14166666666666664,0.1265,0.10517857142857152,2.830062889595163,0.4,0.04,0.06,0.06,0.45
LuigiRuggerone,5258,5753,41400,0.02,0.1411111111111111,34,0.53968,4867,?,9,42,19,52,52,8,68,41,9,12,37,0.23000000000000007,0.1494,0.15166666666666673,0.13350000000000006,0.11910714285714301,4.347465540700918,0.59,0.04,0.08,0.06,0.24
GiusMelillo,5370,12200,13900,0.08697318007662835,0.01992337164750958,41,0.17012,481,20,10,24,16,45,65,7,69,30,8,11,36,0.25199999999999995,0.15319999999999986,0.15416666666666667,0.14600000000000002,0.09339285714285722,2.940143519573255,0.4,0.07,0.07,0.05,0.41
cronitaliana,91,962,2514,0.05319148936170213,0.05944931163954944,26,0.24074,53,8,10,19,18,52,36,6,59,32,9,16,36,0.25000000000000017,0.15044999999999997,0.17333333333333334,0.15550000000000005,0.11696428571428584,1.9883332768691675,0.41,0.07,0.09,0.05,0.37
lellapercacci15,1989,808,16300,0.03209242618741977,0.0,2,0.00917,5032,1,23,19,16,31,16,7,39,47,8,19,42,0.25000000000000017,0.17100000000000032,0.14750000000000002,0.18950000000000003,0.15196428571428583,4.841269841269841,0,0.91,0.05,0.02,0.02
seresileoni,170,1401,944,0.07478753541076487,0.07818696883852691,7,0.05469,357,0,11,35,16,49,51,10,72,35,9,17,44,0.237,0.12300000000000029,0.10916666666666677,0.1494999999999999,0.11553571428571434,1.7867001361329329,0.46,0.09,0.09,0.13,0.22
ifwebmagazine,312,198,19500,0.0,6.211180124223603E-4,27,0.11203,2,1,13,32,16,46,13,5,41,27,7,10,40,0.27100000000000024,0.16053333333333328,0.18083333333333332,0.15100000000000008,0.10821428571428582,2.2230864527008776,0.67,0.06,0.06,0.06,0.16
BortiMan,836,202,2305,0.0,0.0,13,0.07647,0,0,14,23,16,40,29,6,35,43,8,17,36,0.18200000000000005,0.17630000000000084,0.08250000000000006,0.18799999999999997,0.06303571428571464,2.3968276905036383,0.48,0.1,0.07,0.03,0.31
AAAValerio,1055,657,7579,0.055064581917063225,0.07953772943575799,3,0.02083,0,0,10,45,17,54,59,11,56,42,10,12,37,0.25200000000000017,0.16989999999999983,0.1825,0.16149999999999995,0.12803571428571425,1.8425797939180697,0.32,0.27,0.16,0.14,0.11
Zugzwuang,175,280,13100,0.010456273764258554,0.015209125475285171,25,0.15244,64,1,15,32,20,41,54,9,54,46,8,15,42,0.2680000000000002,0.15709999999999996,0.1666666666666666,0.1895,0.1283928571428573,2.6102344856720388,0.61,0.06,0.06,0.12,0.14
Silbi70,338,752,24900,0.05683453237410072,0.0920863309352518,21,0.19626,4862,2,16,38,22,45,38,16,53,54,11,10,37,0.2410000000000002,0.11863333333333362,0.12500000000000014,0.1555000000000001,0.11785714285714285,2.3030593186528066,0.44,0.06,0.15,0.06,0.3
FrancioMancio,25,57,3695,0.6855524079320113,0.11048158640226628,1,0.025,76,0,14,30,16,42,69,9,87,11,10,14,40,0.18100000000000008,0.1750000000000006,0.09416666666666676,0.19300000000000003,0.08339285714285753,1.2142857142857142,0.55,0.04,0.04,0.04,0.33
dariodivico,592,45400,13600,2.922267679719462E-4,0.0014611338398597311,120,0.48583,11,0,11,29,16,51,19,8,61,38,12,12,37,0.26099999999999995,0.12623333333333336,0.14749999999999985,0.1278333333333333,0.09785714285714284,1.8620285132587235,0.4,0.07,0.12,0.06,0.34
SabrinaSbarzagl,410,533,27700,0.0,0.04838709677419355,3,0.42857,1429,0,13,27,19,44,43,7,66,30,9,14,34,0.1900000000000001,0.16400000000000023,0.11916666666666674,0.18550000000000005,0.08500000000000027,5.716917922948074,0.47,0.03,0.05,0.07,0.38
Abocconetti,1583,1749,42800,0.023858921161825725,0.08506224066390042,3,0.02479,2906,?,17,55,16,42,40,16,54,57,8,27,36,0.2260000000000001,0.15650000000000014,0.14083333333333342,0.1745000000000002,0.19839285714285754,2.5756606990622335,0.22,0.23,0.1,0.15,0.3
debernardisa,312,202,401,0.10316815597075549,0.08123476848090982,2,0.02247,384,0,14,21,19,45,41,8,72,27,8,15,40,0.23600000000000015,0.15740000000000007,0.13749999999999998,0.1525000000000001,0.12589285714285722,2.6915032679738564,0.57,0.01,0.07,0.03,0.32
stefaniami,1001,4846,166000,0.02608142493638677,0.03689567430025445,26,0.24528,24100,?,17,22,16,50,36,7,58,27,9,13,38,0.25799999999999984,0.13889999999999997,0.1575,0.14133333333333334,0.12821428571428578,2.9317822983406483,0.6,0.1,0.05,0.04,0.21
RobertaPaliotti,1359,1158,17800,0.05879120879120879,0.026373626373626374,9,0.06429,5676,0,14,56,18,54,41,16,52,62,12,14,44,0.22399999999999998,0.11730000000000003,0.15166666666666678,0.1494999999999999,0.1210714285714285,4.334662911392084,0.52,0.07,0.1,0.04,0.28
AlfredoRanavolo,716,201,1704,9.737098344693282E-4,0.004868549172346641,41,0.17155,0,2,11,52,20,45,19,10,43,57,7,13,39,0.2379999999999999,0.11845000000000018,0.13083333333333333,0.12299999999999997,0.08392857142857135,2.641273510260085,0.47,0.06,0.1,0.08,0.28
maestraserena,554,542,14900,0.01838235294117647,0.003676470588235294,6,0.2069,11800,0,26,29,23,44,47,17,44,39,22,43,40,0.209,0.1609999999999999,0.18083333333333335,0.18699999999999994,0.11625000000000033,1.25,0.1,0.8,0,0,0.1
news24hita,1242,1757,501000,0.0,0.07335733573357335,38,0.27338,1,1,12,21,21,47,27,6,66,72,10,11,33,0.22899999999999995,0.14259999999999987,0.13833333333333336,0.1665,0.12767857142857136,2.3843149718899075,0.51,0.07,0.08,0.06,0.28
futurebrandita,477,301,1165,0.02414654454621149,0.30308076602830974,3,0.02885,431,0,59,32,32,26,95,24,81,45,26,12,32,0.24500000000000002,0.15208333333333326,0.14833333333333337,0.15700000000000006,0.12821428571428575,5.204545454545454,0.53,0.04,0.3,0.13,0
VegFil,797,306,2036,0.017761989342806393,0.0497335701598579,40,0.20513,1164,2,12,28,16,46,22,8,45,41,8,14,42,0.244,0.13130000000000003,0.11666666666666672,0.12100000000000001,0.11410714285714309,2.112075871979908,0.42,0.07,0.07,0.15,0.29
virginactiveIT,863,4926,4921,0.011269472986410341,0.08319522704673517,43,0.2228,466,3,21,76,19,40,42,24,65,48,15,14,46,0.21000000000000005,0.15043333333333334,0.1566666666666667,0.1365,0.12821428571428567,2.051282051282051,0.03,0.08,0.12,0.1,0.67
StefanoBallador,95,58,1132,0.024752475247524754,0.07425742574257425,3,0.03659,24,1,10,36,19,51,40,9,55,31,8,14,37,0.23600000000000002,0.13859999999999992,0.1508333333333333,0.1565,0.10392857142857151,3.63768115942029,0.54,0.02,0.01,0.01,0.42
MadameSwann,626,5464,7633,0.024484536082474227,0.01632302405498282,95,0.625,8789,?,12,45,16,45,73,12,81,32,11,10,38,0.2569999999999999,0.11460000000000016,0.11333333333333331,0.12849999999999998,0.10035714285714285,2.4432714289145343,0.26,0.1,0.14,0.22,0.29
MSilviaSacchi,345,791,2904,0.012463343108504398,0.0036656891495601175,148,1.20325,167,0,11,23,22,46,31,7,56,30,10,10,39,0.247,0.14555000000000004,0.14916666666666664,0.1685000000000001,0.12107142857142869,2.300966102572728,0.36,0.07,0.09,0.06,0.42
Lallaxs,2157,2571,24300,0.008,0.007666666666666666,20,0.09756,226,?,15,41,22,49,26,11,47,85,9,10,37,0.23500000000000004,0.10299999999999997,0.12749999999999997,0.11799999999999994,0.08178571428571425,3.5442002701240076,0.57,0.03,0.05,0.04,0.31
danielacorneo,492,977,5313,0.0087070091423596,0.03831084022638224,33,0.24444,1707,5,15,51,22,43,25,13,48,37,9,17,37,0.221,0.11485000000000013,0.1258333333333333,0.11899999999999991,0.0925,3.1160547993722556,0.6,0.07,0.06,0.05,0.22
arde75,523,936,38300,0.09538784067085954,0.03878406708595388,19,0.14074,20300,?,13,29,16,49,53,9,60,28,10,13,42,0.25500000000000006,0.13993333333333344,0.15333333333333332,0.149,0.11071428571428588,2.5852875474399903,0.52,0.08,0.06,0.1,0.24
borgognoni,470,816,2390,0.021400778210116732,0.01264591439688716,3,0.04348,1378,0,23,32,19,45,33,10,66,36,15,16,34,0.23499999999999993,0.12950000000000012,0.13916666666666674,0.14549999999999996,0.12142857142857143,2.7936936288620227,0.73,0.16,0.03,0.01,0.07
mrmnft,112,122,20600,0.030809859154929578,0.008802816901408451,25,0.3012,719,0,12,48,22,47,33,11,61,18,9,16,39,0.29199999999999987,0.14690000000000014,0.15999999999999995,0.16599999999999998,0.12500000000000022,2.78628202617502,0.46,0.05,0.09,0.07,0.34
emanuelecontu,700,981,8408,0.018900945047252364,0.049002450122506126,39,0.20419,1202,1,11,33,19,46,30,8,62,52,8,13,36,0.259,0.1214250000000001,0.13333333333333333,0.12499999999999999,0.08767857142857141,1.1430469699915455,0.29,0.06,0.17,0.13,0.34
LucianoBonazzi,1158,1288,28800,0.023275145469659187,0.019118869492934332,36,0.35644,5442,?,10,48,30,57,42,10,69,27,9,29,40,0.2450000000000001,0.16039166666666646,0.14833333333333332,0.11649999999999996,0.11660714285714303,3.0915679082799543,0.4,0.16,0.1,0.08,0.27
fabiogalli61,2114,2609,51100,0.048467569493941556,0.029223093371347115,41,0.30827,20400,0,13,30,17,49,40,8,51,39,7,11,42,0.24100000000000005,0.16218333333333326,0.18250000000000016,0.14100000000000001,0.15696428571428592,2.751878800649242,0.44,0.1,0.07,0.03,0.37
donatobuc,1839,2285,74500,0.06161473087818697,0.051699716713881017,20,0.20408,48000,2,18,45,30,46,56,14,69,35,10,21,42,0.27899999999999997,0.1315333333333337,0.14999999999999994,0.16099999999999998,0.1100000000000001,2.897727172153873,0.61,0.06,0.08,0.07,0.19
FioriMarcello,1390,5197,21100,0.09219858156028368,0.028368794326241134,5,0.55556,45,?,19,25,16,37,52,8,71,26,7,12,38,0.19300000000000012,0.1756000000000007,0.12333333333333343,0.2090000000000001,0.09910714285714325,3.401294106780347,0.35,0.11,0.05,0.16,0.33
FPanunzi,947,4327,18000,0.018738738738738738,0.0046846846846846845,28,0.12844,8416,?,17,62,17,42,37,16,61,34,12,12,36,0.22899999999999998,0.11440000000000021,0.13416666666666663,0.12699999999999992,0.09000000000000007,2.5393687179534115,0.4,0.13,0.09,0.1,0.27
MissRefuso,1091,1208,17100,0.03224181360201511,0.03324937027707808,12,0.07143,1390,0,11,24,21,59,34,10,56,40,9,20,32,0.22100000000000017,0.13275000000000012,0.14333333333333348,0.1084999999999999,0.11339285714285718,2.2185854788657853,0.31,0.09,0.07,0.13,0.4
giangrifasi,872,610,2650,0.02104340201665936,0.07584392810170977,4,0.025,258,0,11,19,16,49,41,6,56,43,9,17,38,0.2500000000000001,0.11733333333333355,0.12833333333333333,0.13399999999999998,0.0991071428571428,1.8716006216006216,0.41,0.01,0.21,0.17,0.2
onnawomigaku,?,1486,24700,0.0,0.0,1,0.00485,1,?,8,19,16,47,11,4,5,1,7,10,42,0.18900000000000008,0.17470000000000105,0.09166666666666674,0.18699999999999994,0.04892857142857145,3.554838709677419,0.87,0.01,0.01,0.02,0.06
ilnotariato,259,3187,1446,0.06540795684423466,0.11665542818610924,15,0.07653,6,0,13,23,16,53,58,7,82,38,9,13,40,0.24000000000000013,0.13305000000000003,0.18083333333333335,0.1515,0.12267857142857158,4.64532226953452,0.2,0.2,0.17,0.12,0.31
LauraFiavor,363,324,4953,0.04577033101757254,0.06988148753575807,39,0.1789,557,?,13,29,16,45,50,10,65,64,9,10,39,0.21299999999999997,0.1177,0.13000000000000003,0.151,0.08928571428571422,3.672782208189159,0.27,0.24,0.08,0.06,0.35
thecylonhunter,2005,672,7532,0.0,0.009245742092457421,23,0.09544,20,?,9,47,16,53,14,9,51,49,8,11,39,0.2420000000000001,0.13720000000000002,0.15083333333333337,0.12149999999999996,0.09178571428571419,2.0249109349666257,0.21,0.09,0.07,0.14,0.48
Ile2S,2001,1692,41800,0.09046454767726161,0.02689486552567237,22,0.84615,33000,?,13,27,17,48,93,7,71,20,8,12,40,0.21000000000000008,0.1585,0.15833333333333333,0.19150000000000023,0.10964285714285744,9.276040626559931,0.58,0.06,0.05,0.03,0.27
yoshi979,128,681,33600,0.003051438535309503,0.011333914559721011,16,0.07339,19,?,12,43,16,46,24,11,47,26,10,10,40,0.20000000000000004,0.12850000000000011,0.12333333333333325,0.11316666666666661,0.07839285714285713,2.6952457213122876,0.44,0.22,0.13,0.08,0.13
wondy74,187,2907,2015,0.06305309734513274,0.012168141592920354,3,0.02344,127,0,13,51,16,48,39,13,52,49,9,12,41,0.2569999999999999,0.13010000000000013,0.09916666666666667,0.12950000000000003,0.10053571428571435,1.2140468227424748,0.58,0.15,0.06,0.03,0.18
Trenchap,836,1148,22000,0.0031237797735259665,0.002733307301835221,16,0.07692,24700,0,12,36,16,48,29,8,69,41,8,10,39,0.235,0.10900000000000007,0.14416666666666667,0.15099999999999997,0.10089285714285706,2.000602956093208,0.29,0.23,0.17,0.1,0.2
mgmaglie,158,4833,3816,0.01858736059479554,0.09124704291990537,3,0.01676,8,0,11,62,19,48,39,13,72,9,10,18,37,0.23300000000000007,0.10503333333333348,0.13166666666666654,0.0885,0.09696428571428574,9.269938650306749,0.91,0.03,0.02,0.02,0.02
stefanocasi1,132,336,2408,5.386479935362241E-4,0.006733099919202801,31,0.13362,4,0,15,72,16,38,21,18,70,57,8,12,36,0.252,0.13355000000000022,0.15249999999999997,0.13100000000000006,0.10678571428571429,1.7223391841170932,0.2,0.26,0.12,0.09,0.34
RobertaZicari,517,371,1444,0.08351457155284907,0.04567203131796433,6,0.03529,5,0,10,60,16,55,35,15,59,39,8,15,43,0.218,0.11030000000000002,0.12333333333333328,0.12299999999999989,0.07553571428571426,1.278109533183352,0.56,0.05,0.12,0.05,0.21
robertapriveato,378,116,160,0.02531645569620253,0.0,8,0.16667,98,0,10,25,19,45,25,6,40,21,8,13,35,0.21300000000000024,0.16139999999999996,0.1800000000000001,0.1645000000000001,0.14482142857142852,5.1794578179654405,0.43,0.27,0.04,0.08,0.18
arpaumbria,376,526,1064,0.014416775884665793,0.0327653997378768,2,0.01626,2,0,12,25,21,44,43,8,69,27,10,46,36,0.2510000000000001,0.16079999999999983,0.14500000000000002,0.15500000000000014,0.1494642857142859,2.0819444444444444,0.38,0.01,0.01,0.03,0.56
corser71,19,17,2150,0.0,0.0,4,0.01802,0,0,17,23,28,40,12,8,44,45,7,12,37,0.21299999999999997,0.15902499999999992,0.16083333333333336,0.10849999999999996,0.10160714285714303,5.067901234567901,0.1,0.06,0.1,0.31,0.43
Leonardobecchet,2323,6659,5711,0.027073932662270046,0.012842762929538355,21,0.11602,8,?,20,33,16,43,43,12,73,31,12,23,39,0.243,0.1220666666666669,0.14499999999999996,0.143,0.10875000000000001,1.6268892278001972,0.31,0.07,0.06,0.06,0.51
monicadiamanti,878,638,5201,0.020509633312616533,0.06401491609695463,4,0.03252,518,0,14,21,25,51,37,7,55,37,8,12,36,0.25900000000000006,0.13300000000000023,0.16916666666666663,0.14150000000000007,0.09000000000000019,2.3629032258064515,0.53,0.07,0.22,0.07,0.11
xloveandragex,502,200,3357,0.008477842003853564,0.2539499036608863,11,0.05046,152,1,12,24,23,47,64,8,51,53,11,19,40,0.2340000000000001,0.12,0.1408333333333333,0.13300000000000003,0.10785714285714283,3.7577085203013243,0.32,0.23,0.05,0.17,0.23
FikaSicula,553,4180,33000,0.022229486760379207,0.002942137953579601,26,0.11607,1296,4,11,32,16,46,25,8,54,59,9,12,42,0.22399999999999992,0.12140000000000013,0.17499999999999993,0.12299999999999996,0.09160714285714287,6.324844776773439,0.43,0.08,0.1,0.08,0.3
NevioSalimbeni,472,519,2346,0.034992223950233284,0.1349144634525661,14,0.08642,156,?,18,30,16,44,59,10,69,39,11,14,41,0.22200000000000006,0.12599999999999997,0.1366666666666667,0.1170000000000001,0.08928571428571427,2.9600427350427347,0.11,0.05,0.06,0.12,0.66
fulviodeangeli1,682,623,2157,0.010079193664506839,0.01331893448524118,9,0.04455,34,0,16,35,37,40,19,11,59,41,10,18,42,0.2419999999999999,0.1165000000000001,0.13833333333333325,0.12499999999999993,0.07821428571428576,1.7336887534907337,0.12,0.01,0.03,0.13,0.71
tuttoprof,5335,7348,28600,0.0,3.5919540229885057E-4,56,0.21875,1,5,11,24,19,55,12,7,44,80,9,11,40,0.22600000000000012,0.13485000000000005,0.1375,0.16250000000000006,0.11178571428571431,1.5222429860507676,0.33,0.06,0.08,0.1,0.43
StopCensura,1331,1403,15300,0.050293378038558254,0.16596814752724226,25,0.2907,2532,?,10,33,16,50,58,7,67,34,7,38,36,0.2740000000000002,0.1546,0.17250000000000001,0.15000000000000002,0.12535714285714308,4.850823163694386,0.3,0.12,0.05,0.07,0.46
JulieCarballo,548,187,1070,0.014084507042253521,0.028169014084507043,8,0.20513,16,?,14,19,22,46,32,6,45,25,9,16,38,0.2000000000000002,0.16350000000000045,0.12333333333333336,0.1779999999999999,0.05553571428571438,3.066983838993708,0.49,0.12,0.05,0.1,0.23
alfveneziano,287,146,911,0.44605678233438484,0.1028391167192429,2,0.01613,1,0,13,22,16,44,73,8,77,37,11,11,40,0.21100000000000005,0.17250000000000024,0.14250000000000004,0.20200000000000012,0.10982142857142894,1.5,0.2,0.4,0.2,0,0.2
SViadiDamasco,3460,4100,9506,0.028960817717206135,0.05877342419080068,24,0.15287,6881,?,10,19,16,54,41,6,50,30,9,15,40,0.23000000000000007,0.15320000000000025,0.1516666666666666,0.17450000000000007,0.135357142857143,2.3627827705196482,0.21,0.27,0.04,0.06,0.42
ADebiasi1,3085,3113,17400,0.0010623229461756375,0.04603399433427762,27,0.13918,2,0,10,37,16,49,26,7,61,43,9,16,35,0.22800000000000017,0.12035000000000001,0.13916666666666663,0.154,0.07785714285714287,3.484424777611635,0.55,0.06,0.07,0.07,0.24
Ricercamy,3055,2796,3427,0.002152852529601722,0.38966630785791173,8,0.03493,7,0,9,19,16,46,87,6,81,4,13,10,43,0.23700000000000007,0.1799000000000006,0.13750000000000004,0.18500000000000003,0.1119642857142861,1.0,0.33,0.35,0,0.16,0.16
CristinaMassara,1970,1689,12400,0.03763010408326661,0.13931144915932747,33,0.29204,17000,0,12,23,19,44,49,7,62,47,9,12,36,0.2600000000000001,0.15290000000000012,0.1483333333333334,0.16849999999999998,0.13482142857142887,3.061879770706428,0.48,0.12,0.06,0.06,0.28
federturismo,1247,6889,12600,0.0586063682510383,0.13105676049838486,39,0.24074,184,19,13,26,16,49,54,8,66,29,9,15,39,0.2430000000000001,0.15719999999999995,0.11916666666666674,0.1393333333333334,0.09499999999999997,1.3834020126165605,0.26,0.08,0.17,0.13,0.36
AngeloSantoro,1294,4357,16300,0.030441400304414,0.0045662100456621,5,0.10417,1190,2,12,35,16,45,30,9,60,35,8,11,40,0.25500000000000017,0.1432333333333334,0.15999999999999986,0.16649999999999995,0.1301785714285716,2.5685703890663514,0.66,0.04,0.02,0.22,0.06
LPizzotti,503,612,11400,0.004029550033579583,0.08663532572196105,6,0.03593,2444,?,13,53,52,48,32,16,57,38,19,34,41,0.24200000000000008,0.16828333333333279,0.1900000000000001,0.13449999999999998,0.13392857142857156,1.5798818351721227,0.46,0,0.23,0.06,0.24
